,n,nmiss,mean,stdev,min,pctls.1%,pctls.5%,pctls.10%,pctls.25%,pctls.50%,pctls.75%,pctls.90%,pctls.95%,pctls.99%,max,treatmentreq,mean+3STD,
ONEOFF_PURCHASES,8950,0,592.4373709,1659.887917,0,0,0,0,0,38,577.405,1600.099,2671.094,6689.8982,40761.25,1,5572.101123,cc$ONEOFF_PURCHASES[cc$ONEOFF_PURCHASES>5572.10112326315]<-5572.10112326315
PURCHASES,8950,0,1003.204834,2136.634782,0,0,0,0,39.635,361.28,1110.13,2542.624,3998.6195,8977.29,49039.57,1,7413.109179,cc$PURCHASES[cc$PURCHASES>7413.10917913822]<-7413.10917913822
PAYMENTS,8950,0,1733.143852,2895.063757,0,0,89.98892395,179.617069,383.276166,856.901546,1901.134317,3923.906642,6082.090595,13608.71554,50721.48336,1,10418.33512,cc$PAYMENTS[cc$PAYMENTS>10418.3351227385]<-10418.3351227385
PURCHASES_INSTALLMENTS_FREQUENCY,8950,0,0.364437342,0.39744778,0,0,0,0,0,0.166667,0.75,1,1,1,1,0,,
PURCHASES_FREQUENCY,8950,0,0.490350548,0.401370747,0,0,0,0,0.083333,0.5,0.916667,1,1,1,1,0,,
CASH_ADVANCE_FREQUENCY,8950,0,0.1351442,0.200121388,0,0,0,0,0,0,0.222222,0.416667,0.583333,0.833333,1.5,1,0.735508365,cc$CASH_ADVANCE_FREQUENCY[cc$CASH_ADVANCE_FREQUENCY>0.735508364777687]<-0.735508364777687
BALANCE,8950,0,1564.474828,2081.531879,0,0.06510059,8.81451835,23.5755288,128.2819155,873.385231,2054.140036,4338.563657,5909.111808,9338.804814,19043.13856,1,7809.070466,cc$BALANCE[cc$BALANCE>7809.07046604775]<-7809.07046604775
CREDIT_LIMIT,8950,0,4494.44945,3638.612411,50,500,1000,1200,1600,3000,6500,9500,12000,17000,30000,1,15410.28668,cc$CREDIT_LIMIT[cc$CREDIT_LIMIT>15410.286684288]<-15410.286684288
PRC_FULL_PAYMENT,8950,0,0.153714648,0.292499196,0,0,0,0,0,0,0.142857,0.6700003,1,1,1,0,,
CASH_ADVANCE,8950,0,978.8711125,2097.163877,0,0,0,0,0,0,1113.821139,3065.53456,4647.169122,9588.163357,47137.21176,1,7270.362742,cc$CASH_ADVANCE[cc$CASH_ADVANCE>7270.36274239517]<-7270.36274239517
ONEOFF_PURCHASES_FREQUENCY,8950,0,0.202457684,0.298336065,0,0,0,0,0,0.083333,0.3,0.75,1,1,1,0,,
INSTALLMENTS_PURCHASES,8950,0,411.0676447,904.3381152,0,0,0,0,0,89,468.6375,1140.07,1750.0875,3886.2405,22500,1,3124.08199,cc$INSTALLMENTS_PURCHASES[cc$INSTALLMENTS_PURCHASES>3124.08199021888]<-3124.08199021888
