25% or more above overall,,km_clust_3,,,km_clust_4,,,,km_clust_5,,,,,km_clust_6,,,,,
25% or less below overall,,1,2,3,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6
All,8950,1268,4375,3307,3772,3243,1213,722,1462,2999,769,3029,691,490,1119,1091,3492,1871,887
ONEOFF_PURCHASES,592.4374,3.91E+02,1.98E+02,1.19E+03,2.18E+02,4.12E+02,2.66E+02,3.91E+03,1.24E+02,2.72E+02,3.78E+02,4.14E+02,3.99E+03,4.57E+03,2.62E+02,1.51E+03,1.77E+02,2.00E+02,1.51E+02
PURCHASES,916.5406,5.71E+02,2.74E+02,1.90E+03,2.59E+02,9.95E+02,4.15E+02,4.84E+03,1.57E+02,3.35E+02,6.21E+02,1.02E+03,4.91E+03,5.53E+03,4.17E+02,1.87E+03,2.12E+02,8.46E+02,7.46E+02
PAYMENTS,1608.1222,3.36E+03,8.27E+02,1.97E+03,8.65E+02,1.11E+03,3.22E+03,5.01E+03,1.45E+03,7.80E+02,4.04E+03,1.13E+03,4.94E+03,5.88E+03,3.35E+03,1.85E+03,8.48E+02,1.02E+03,9.79E+02
ONEOFF_PURCHASES_FREQUENCY,0.2025,1.43E-01,9.56E-02,3.67E-01,9.49E-02,2.46E-01,1.24E-01,7.02E-01,6.67E-02,1.18E-01,1.60E-01,2.47E-01,7.09E-01,6.77E-01,1.15E-01,7.56E-01,7.84E-02,9.62E-02,8.27E-02
CASH_ADVANCE,901.8732,4.06E+03,5.08E+02,2.12E+02,5.64E+02,1.71E+02,4.04E+03,6.88E+02,1.92E+03,2.35E+02,4.78E+03,1.70E+02,5.43E+02,8.04E+02,4.17E+03,2.59E+02,6.26E+02,2.70E+02,4.25E+01
CASH_ADVANCE_FREQUENCY,0.1325,4.32E-01,1.15E-01,4.12E-02,1.26E-01,3.98E-02,4.29E-01,8.37E-02,3.53E-01,5.62E-02,4.36E-01,3.87E-02,7.02E-02,9.04E-02,4.33E-01,5.64E-02,1.37E-01,5.77E-02,8.19E-03
PURCHASES_INSTALLMENTS_FREQUENCY,0.3644,1.91E-01,1.27E-01,7.45E-01,6.49E-02,7.03E-01,1.64E-01,7.44E-01,4.89E-02,9.38E-02,2.41E-01,7.30E-01,7.42E-01,8.07E-01,1.65E-01,3.77E-01,5.32E-02,8.07E-01,6.49E-01
PURCHASES_FREQUENCY,0.4904,2.93E-01,2.26E-01,9.16E-01,1.61E-01,8.58E-01,2.66E-01,9.36E-01,1.13E-01,2.14E-01,3.52E-01,8.80E-01,9.36E-01,9.45E-01,2.57E-01,8.48E-01,1.32E-01,8.58E-01,7.27E-01
INSTALLMENTS_PURCHASES,375.0947,1.96E+02,7.61E+01,8.40E+02,4.19E+01,5.83E+02,1.49E+02,1.56E+03,3.27E+01,6.31E+01,2.41E+02,6.09E+02,1.58E+03,1.89E+03,1.55E+02,3.66E+02,3.49E+01,6.45E+02,5.95E+02
BALANCE,1517.3587,4.38E+03,9.61E+02,1.16E+03,1.04E+03,7.45E+02,4.35E+03,2.74E+03,2.11E+03,7.87E+02,5.24E+03,7.54E+02,2.63E+03,3.06E+03,4.51E+03,1.27E+03,1.08E+03,9.70E+02,7.65E+01
PRC_FULL_PAYMENT,0.1537,3.87E-02,7.97E-02,2.96E-01,5.39E-02,2.83E-01,3.72E-02,2.91E-01,3.38E-02,7.44E-02,3.78E-02,2.86E-01,3.00E-01,2.90E-01,3.72E-02,2.32E-01,3.28E-02,6.01E-02,8.03E-01
CREDIT_LIMIT,4452.7862,7.77E+03,3.09E+03,4.99E+03,3.11E+03,3.88E+03,7.71E+03,8.59E+03,3.91E+03,3.13E+03,9.15E+03,3.91E+03,8.53E+03,9.01E+03,7.95E+03,5.82E+03,3.09E+03,3.20E+03,3.85E+03
,,14%,49%,37%,42%,36%,14%,8%,16%,34%,9%,34%,8%,5%,13%,12%,39%,21%,10%
